index,sender_name,dateTime,timeElapsed,answerTime_s,answerTime_m
1,Klara,2021-01-07T13:53:47Z,58230310.68000007,NA,NA
2,Klara,2021-01-07T13:53:13Z,58230276.73000002,14877.509000062943,247.95848333438238
3,Jonathan,2021-01-07T09:45:15Z,58215399.220999956,NA,NA
4,Jonathan,2021-01-07T09:44:38Z,58215362.39999986,NA,NA
5,Jonathan,2021-01-07T09:43:32Z,58215295.79399991,32902.09399986267,548.3682333310445
6,Klara,2021-01-07T00:35:10Z,58182393.70000005,NA,NA
7,Klara,2021-01-07T00:33:17Z,58182281.61100006,39890.25600004196,664.8376000006994
8,Jonathan,2021-01-06T13:28:27Z,58142391.35500002,60105.74699997902,1001.7624499996504
9,Klara,2021-01-05T20:46:41Z,58082285.60800004,NA,NA
10,Klara,2021-01-03T20:14:05Z,57907528.849999905,NA,NA
11,Klara,2021-01-03T20:14:03Z,57907526.98099995,NA,NA
12,Klara,2021-01-02T15:06:42Z,57802686.50900006,NA,NA
13,Klara,2021-01-02T15:00:51Z,57802335.18599987,2571.496999979019,42.85828333298365
14,Jonathan,2021-01-02T14:18:00Z,57799763.68899989,NA,NA
15,Jonathan,2021-01-02T14:16:31Z,57799675.177000046,57654.75699996948,960.912616666158
16,Klara,2021-01-01T22:15:36Z,57742020.42000008,352.60900020599365,5.8768166700998945
17,Jonathan,2021-01-01T22:09:44Z,57741667.81099987,1846.048999786377,30.76748332977295
18,Klara,2021-01-01T21:38:58Z,57739821.762000084,NA,NA
19,Klara,2021-01-01T21:38:42Z,57739805.741999865,1450.0049998760223,24.166749997933707
20,Jonathan,2021-01-01T21:14:32Z,57738355.73699999,5834.730999946594,97.24551666577658
21,Klara,2021-01-01T19:37:17Z,57732521.00600004,NA,NA
22,Klara,2021-01-01T19:36:47Z,57732490.71300006,2194.1870000362396,36.56978333393733
23,Jonathan,2021-01-01T19:00:12Z,57730296.52600002,12200.273000001907,203.3378833333651
24,Klara,2021-01-01T15:36:52Z,57718096.25300002,18357.857000112534,305.9642833352089
25,Jonathan,2021-01-01T10:30:54Z,57699738.39599991,25289.475999832153,421.4912666638692
26,Klara,2021-01-01T03:29:25Z,57674448.92000008,NA,NA
27,Klara,2021-01-01T03:28:04Z,57674368.25699997,1071.5139999389648,17.858566665649413
28,Jonathan,2021-01-01T03:10:13Z,57673296.74300003,563.8400001525879,9.397333335876464
29,Klara,2021-01-01T03:00:49Z,57672732.90299988,28.82699990272522,0.4804499983787537
30,Jonathan,2021-01-01T03:00:20Z,57672704.075999975,17.638000011444092,0.2939666668574015
31,Klara,2021-01-01T03:00:02Z,57672686.437999964,71.73900008201599,1.1956500013669331
32,Jonathan,2021-01-01T02:58:51Z,57672614.69899988,264.61299991607666,4.410216665267944
33,Klara,2021-01-01T02:54:26Z,57672350.085999966,586.5230000019073,9.775383333365122
34,Jonathan,2021-01-01T02:44:39Z,57671763.562999964,269.2349998950958,4.487249998251597
